#time memba_kinetic_energy membb_kinetic_energy 
1.85  0.48035   0.702757  
1.86  0.492093   0.709965  
1.87  0.505324   0.712977  
1.88  0.519626   0.711637  
1.89  0.534542   0.70603  
1.9  0.549614   0.696454  
1.91  0.564419   0.683447  
1.92  0.578567   0.66773  
1.93  0.591705   0.650132  
1.94  0.603549   0.631494  
1.95  0.613889   0.612686  
1.96  0.622605   0.594613  
1.97  0.629612   0.578119  
1.98  0.634909   0.563934  
1.99  0.638641   0.552597  
2  0.641024   0.544472  
2.01  0.642328   0.539774  
2.02  0.642862   0.538538  
2.03  0.642953   0.540612  
2.04  0.642928   0.545662  
2.05  0.642981   0.553203  
2.06  0.643246   0.562631  
2.07  0.643921   0.573264  
2.08  0.645182   0.584402  
2.09  0.647116   0.595365  
2.1  0.649649   0.605428  
2.11  0.652556   0.61397  
2.12  0.655577   0.620573  
2.13  0.65843   0.624942  
2.14  0.660774   0.626929  
2.15  0.662227   0.626534  
2.16  0.662401   0.623905  
2.17  0.660929   0.619327  
2.18  0.657485   0.613158  
2.19  0.65179   0.60588  
2.2  0.643698   0.597975  
2.21  0.633217   0.589826  
2.22  0.620396   0.58181  
2.23  0.605432   0.574292  
2.24  0.588777   0.56765  
2.25  0.571067   0.562235  
2.26  0.553027   0.558308  
2.27  0.535433   0.556081  
2.28  0.5191   0.555711  
2.29  0.504783   0.557303  
2.3  0.493148   0.56093  
2.31  0.484707   0.566618  
2.32  0.479782   0.574327  
2.33  0.478521   0.58397  
2.34  0.480826   0.59537  
2.35  0.48637   0.608178  
2.36  0.494628   0.621977  
2.37  0.504959   0.636358  
2.38  0.516631   0.650849  
2.39  0.528786   0.665096  
2.4  0.540521   0.678867  
2.41  0.550982   0.691821  
2.42  0.559386   0.703485  
2.43  0.565074   0.713447  
2.44  0.567559   0.721458  
2.45  0.566591   0.727381  
2.46  0.562192   0.731187  
2.47  0.554565   0.732931  
2.48  0.544088   0.732774  
2.49  0.531396   0.731021  
2.5  0.517336   0.728076  
2.51  0.502966   0.724359  
2.52  0.489438   0.72036  
2.53  0.477773   0.716608  
2.54  0.468852   0.713497  
2.55  0.463399   0.711277  
2.56  0.461932   0.710098  
2.57  0.46471   0.710004  
2.58  0.471739   0.710957  
2.59  0.482779   0.712868  
