#time fluid_temperature fluid_vCM 
0.101  19.9453    -10.3794 -10.0517 -7.67053   
0.102  18.1745    -10.6519 -10.3084 -7.77312   
0.103  17.4471    -10.9248 -10.5774 -7.8372   
0.104  16.4134    -11.1913 -10.8505 -7.87965   
0.105  14.9624    -11.4404 -11.1218 -7.91871   
0.106  14.2036    -11.663 -11.3899 -7.95838   
0.107  13.7863    -11.8641 -11.6548 -8.00039   
0.108  14.5421    -12.053 -11.9129 -8.04404   
0.109  14.6515    -12.2361 -12.1629 -8.08925   
0.11  16.5033    -12.4136 -12.4092 -8.13512   
0.111  18.0971    -12.5869 -12.6542 -8.16737   
0.112  19.951    -12.7621 -12.9018 -8.16592   
0.113  20.3779    -12.943 -13.1532 -8.11715   
0.114  20.6039    -13.1359 -13.3995 -8.01797   
0.115  22.4052    -13.3348 -13.6252 -7.88598   
0.116  21.9994    -13.533 -13.8182 -7.73075   
0.117  22.8814    -13.7238 -13.9674 -7.56044   
0.118  22.4009    -13.8934 -14.0677 -7.38565   
0.119  22.139    -14.0253 -14.1111 -7.23183   
0.12  22.357    -14.1006 -14.0912 -7.14176   
0.121  23.7005    -14.1017 -14.0171 -7.13532   
0.122  24.9613    -14.0117 -13.8925 -7.22819   
0.123  29.2923    -13.8316 -13.7148 -7.42631   
0.124  33.9971    -13.5621 -13.4805 -7.70259   
0.125  38.4414    -13.1906 -13.1812 -8.03278   
0.126  39.8526    -12.7208 -12.812 -8.40047   
0.127  42.3153    -12.1821 -12.3906 -8.75636   
0.128  44.1519    -11.607 -11.9343 -9.04095   
0.129  43.9467    -11.014 -11.4502 -9.21396   
0.13  42.8026    -10.4129 -10.9417 -9.25132   
0.131  40.5246    -9.81788 -10.41 -9.12322   
0.132  38.4824    -9.23461 -9.86031 -8.81646   
0.133  35.809    -8.7151 -8.88468 -7.41557   
0.134  33.709    -8.20511 -8.36577 -6.86331   
0.135  34.3315    -7.61753 -7.74354 -6.14903   
0.136  34.3066    -7.02373 -7.11464 -5.35122   
0.137  32.6124    -5.62411 -6.19052 -3.46781   
0.138  31.9063    -5.01995 -5.58326 -2.58656   
0.139  31.904    -4.4151 -4.99691 -1.67831   
0.14  30.8161    -3.81321 -4.42806 -0.74859   
0.141  30.9563    -3.21892 -3.87295 0.190058   
0.142  32.1525    -2.63909 -3.33 1.12305   
0.143  31.1078    -2.08053 -2.79916 2.04724   
0.144  33.0799    -1.54775 -2.28148 2.96763   
0.145  37.1682    -1.04154 -1.77577 3.8948   
0.146  39.7881    -0.563138 -1.28163 4.83564   
0.147  41.0291    -0.112335 -0.803557 5.78549   
0.148  42.6759    0.315486 -0.347457 6.72846   
0.149  40.8529    0.727936 0.0835663 7.64878   
0.15  40.4278    1.13454 0.490868 8.52909   
0.151  39.3874    1.54314 0.875878 9.34054   
0.152  39.7763    1.96122 1.23651 10.0414   
0.153  37.7027    2.39269 1.56862 10.596   
0.154  35.355    2.8306 1.86802 11.0029   
0.155  33.4387    3.26565 2.1346 11.2719   
