#time blobTF_temperature blobTF_vCM blobNS_temperature blobNS_vCM 
0  5.55556e-05    -2.20856e-20 -9.93852e-20 0    1.38889e-05    -3.934e-19 -1.90739e-20 0   
0.05  5.55278e-05    -3.93525e-19 -5.7021e-19 0    1.35472e-05    2.79082e-19 -4.55766e-19 0   
0.1  5.46546e-05    -4.57774e-19 -2.54988e-19 0    1.29466e-05    7.45389e-20 -2.73058e-19 0   
0.15  5.31852e-05    -1.00891e-19 -2.46957e-19 0    1.24111e-05    2.59004e-19 -3.67424e-19 0   
0.2  4.92048e-05    3.09198e-19 -1.0842e-19 0    1.28607e-05    2.63019e-19 -1.50584e-19 0   
0.25  4.73585e-05    1.40545e-19 -8.85306e-20 0    1.22168e-05    -2.00778e-20 -5.22023e-20 0   
0.3  4.62309e-05    2.44949e-19 -1.58615e-19 0    1.15864e-05    2.59004e-19 -4.01556e-20 0   
0.35  4.61896e-05    6.82646e-20 -8.63346e-20 0    1.14863e-05    8.23191e-20 8.03113e-20 0   
0.4  4.3811e-05    5.01945e-20 -2.73058e-19 0    1.12704e-05    3.5337e-19 2.24872e-19 0   
0.45  4.23362e-05    -3.04179e-19 -1.50082e-19 0    1.02592e-05    4.2565e-19 2.89121e-19 0   
0.5  4.30264e-05    -1.74677e-19 -5.41097e-19 0    9.61948e-06    7.30833e-19 3.73447e-19 0   
0.55  4.20402e-05    -1.20969e-19 1.30506e-20 0    8.70187e-06    2.81089e-19 3.3028e-19 0   
0.6  4.03985e-05    4.01556e-20 -6.13628e-20 0    7.44841e-06    7.54926e-19 2.50973e-19 0   
0.65  3.98969e-05    -1.72669e-19 -1.57109e-19 0    7.51202e-06    7.46895e-19 1.4456e-19 0   
0.7  4.01141e-05    -6.22412e-19 -1.07416e-19 0    7.38878e-06    6.34459e-19 2.85105e-19 0   
0.75  3.9863e-05    -5.01945e-19 -3.03175e-19 0    7.57522e-06    9.47673e-19 2.61012e-19 0   
0.8  4.00351e-05    -6.20405e-19 -1.92747e-19 0    7.38329e-06    7.46895e-19 1.60623e-19 0   
0.85  4.05642e-05    -3.43331e-19 -2.63019e-19 0    7.56767e-06    7.95082e-19 0 0   
0.9  4.28209e-05    -6.14381e-19 -8.77401e-19 0    7.70934e-06    5.78241e-19 2.40934e-20 0   
0.95  4.46691e-05    -5.72218e-19 1.18961e-19 0    7.9329e-06    4.01556e-19 -2.00778e-19 0   
1  4.57385e-05    -6.30443e-19 3.43331e-19 0    8.14496e-06    3.29276e-19 -3.85494e-19 0   
1.05  4.58585e-05    -2.61012e-19 1.41298e-19 0    8.01732e-06    3.05183e-19 -4.01556e-19 0   
1.1  4.70007e-05    -5.26039e-19 3.01167e-20 0    8.53677e-06    4.49743e-19 -2.24872e-19 0   
1.15  4.46382e-05    -9.51689e-19 5.74226e-19 0    8.64827e-06    3.69432e-19 3.21245e-20 0   
1.2  4.58227e-05    -8.11144e-19 1.25185e-18 0    8.80134e-06    1.92747e-19 -1.36529e-19 0   
1.25  4.74969e-05    -7.70988e-19 4.67813e-19 0    8.55109e-06    3.21245e-19 -2.40934e-19 0   
1.3  4.87704e-05    -4.4372e-19 5.66194e-19 0    8.66638e-06    3.5337e-19 -1.76685e-19 0   
1.35  4.77392e-05    -7.93576e-19 5.8828e-19 0    8.74676e-06    2.89121e-19 -2.04794e-19 0   
1.4  4.94203e-05    -6.37471e-19 6.70599e-19 0    9.73175e-06    2.56996e-19 -1.88731e-19 0   
1.45  4.82778e-05    -5.17004e-19 6.71478e-19 0    1.08407e-05    4.01556e-19 -2.50973e-19 0   
1.5  5.01236e-05    -4.95044e-19 4.23642e-19 0    1.10405e-05    -3.21245e-20 -3.99549e-19 0   
1.55  5.03743e-05    -6.32451e-19 6.90677e-19 0    1.08265e-05    9.63735e-20 -3.97541e-19 0   
1.6  4.8423e-05    -6.26428e-19 4.85883e-19 0    1.08644e-05    1.60623e-20 -4.9793e-19 0   
1.65  4.76678e-05    -6.70599e-19 0 0    1.05971e-05    -8.03113e-20 -5.36078e-19 0   
1.7  4.8261e-05    -6.26428e-19 3.75455e-19 0    1.08141e-05    -1.92747e-19 -2.59004e-19 0   
1.75  4.96563e-05    -7.58942e-19 4.78354e-19 0    1.08638e-05    8.83424e-20 -4.6179e-19 0   
1.8  5.20471e-05    -4.77852e-19 5.69896e-19 0    1.17328e-05    1.36529e-19 -6.14381e-19 0   
1.85  4.89696e-05    -5.94303e-19 5.30807e-20 0    1.25247e-05    5.42101e-19 -5.7021e-19 0   
1.9  4.87236e-05    -3.21245e-19 3.33292e-19 0    1.18854e-05    4.73837e-19 -4.81868e-19 0   
1.95  4.96457e-05    -6.0635e-19 8.73385e-20 0    1.11272e-05    2.79082e-19 -5.54148e-19 0   
2  4.93644e-05    -9.2358e-19 -1.69658e-19 0    1.11988e-05    5.78743e-19 -6.4249e-19 0   
2.05  5.14338e-05    -5.98319e-19 -2.20856e-20 0    1.08999e-05    3.93525e-19 -4.57774e-19 0   
2.1  5.11319e-05    8.23191e-20 -1.14444e-19 0    1.03368e-05    4.09587e-19 -6.34459e-19 0   
2.15  5.10804e-05    -1.22475e-19 -8.03113e-21 0    1.08239e-05    4.01556e-19 -4.65805e-19 0   
2.2  5.21215e-05    4.9793e-19 -4.33681e-19 0    1.04044e-05    6.58552e-19 -5.13992e-19 0   
2.25  5.21758e-05    2.48965e-19 -1.76685e-19 0    1.10871e-05    4.41712e-19 -5.62179e-19 0   
2.3  5.51357e-05    -3.25261e-19 -1.4456e-19 0    1.13236e-05    5.94303e-19 -5.62179e-19 0   
2.35  5.71079e-05    -1.68654e-19 3.05183e-19 0    1.15174e-05    7.62957e-19 -5.82257e-19 0   
2.4  5.83115e-05    -9.35626e-19 -9.43657e-20 0    1.18106e-05    8.03113e-19 -8.41261e-19 0   
2.45  5.56088e-05    -1.32514e-18 5.98319e-19 0    1.20995e-05    6.82646e-19 -6.04342e-19 0   
2.5  5.45155e-05    3.78969e-19 5.68202e-19 0    1.21447e-05    8.59331e-19 -8.58201e-19 0   
2.55  5.39947e-05    -1.08119e-18 3.82482e-19 0    1.19941e-05    9.31611e-19 -1.0581e-18 0   
2.6  5.31304e-05    -9.43657e-20 -3.41323e-19 0    1.17049e-05    1.01995e-18 -9.55704e-19 0   
2.65  5.24184e-05    -3.45338e-19 -1.58615e-19 0    1.11163e-05    7.34848e-19 -9.07517e-19 0   
2.7  5.09584e-05    1.46568e-19 -2.81089e-19 0    1.20922e-05    7.8705e-19 -8.21183e-19 0   
2.75  5.11332e-05    -4.67813e-19 -1.96763e-19 0    1.28723e-05    6.34459e-19 -7.16778e-19 0   
2.8  4.95489e-05    -1.75681e-19 -1.0842e-19 0    1.21944e-05    8.51299e-19 -6.50521e-19 0   
2.85  5.01912e-05    -9.73774e-19 1.02397e-19 0    1.19946e-05    5.62179e-19 -9.11533e-19 0   
2.9  4.83214e-05    -9.17556e-19 -2.00778e-19 0    1.1862e-05    8.99486e-19 -9.15549e-19 0   
2.95  5.04119e-05    -6.89673e-19 -2.20856e-19 0    1.14478e-05    6.98708e-19 -7.8705e-19 0   
3  4.9862e-05    -5.98319e-19 -1.61626e-19 0    1.10606e-05    6.26428e-19 -6.18397e-19 0   
